,precision,recall,f1-score,support
dunya,0.8639455782312925,0.8664717348927875,0.8652068126520681,1026.0
ekonomi,0.8342455043002346,0.8869492934330839,0.8597904915390813,1203.0
magazin,0.875,0.8176991150442477,0.8453796889295517,565.0
otomobil,0.9031296572280179,0.8885630498533724,0.8957871396895788,682.0
saglik,0.8422509225092251,0.8556701030927835,0.8489074848907484,1067.0
sanat,0.8519003931847968,0.9040333796940194,0.8771929824561403,719.0
spor,0.9443339960238568,0.9615384615384616,0.9528585757271816,988.0
teknoloji,0.8513708513708513,0.7347447073474471,0.7887700534759359,803.0
accuracy,0.8687083510562881,0.8687083510562881,0.8687083510562881,0.8687083510562881
macro avg,0.8707721128560343,0.8644587306120254,0.8667366536700358,7053.0
weighted avg,0.868873646662069,0.8687083510562881,0.8679837191464699,7053.0
